X,C5: Sample 53,X,C6: Sample 54,X,C12: Sample 60,X,D1: Sample 73,X,D3: Sample 75,X,D9: Sample 81,X,D10: Sample 82,X,E5: Sample 101,X,G5: Sample 149,X,H5: Sample 173,X,H6: Sample 174,X,H7: Sample 175,X,H8: Sample 176,X,H11: Sample 179
24.56,197.88028011937,24.56,161.828717234802,24.56,50.8403869523751,24.56,42.0614337850726,24.56,409.788641397982,24.56,24.7867233648166,24.56,46.2304014505907,24.56,103.087350787595,24.56,369.847826421364,24.56,127.798444037657,24.56,29.5083129191792,24.56,22.7919832943638,24.56,144.750530703913,24.56,159.735128753384
24.63,197.303390116496,24.63,161.129402882412,24.63,50.6901843967294,24.63,41.8989560692192,24.63,408.898744615301,24.63,24.6826827385987,24.63,46.184024187808,24.63,103.063308012136,24.63,369.258972346253,24.63,127.314006609164,24.63,29.4391953194921,24.63,22.6310029823301,24.63,144.546194690048,24.63,159.240349879398
24.82,196.76566941147,24.82,160.930521329185,24.82,50.6108267479371,24.82,41.7185296714719,24.82,408.040865621035,24.82,24.5243324141645,24.82,45.946570735331,24.82,102.944249928696,24.82,368.585769766024,24.82,126.957773605388,24.82,29.3404076527263,24.82,22.4731592982558,24.82,144.368817739017,24.82,158.925483700837
25.02,196.155312598334,25.02,160.406512506269,25.02,50.6420408206851,25.02,41.6915095009293,25.02,407.114957003363,25.02,24.4410732004531,25.02,45.8795388924125,25.02,102.966720320275,25.02,367.356127819734,25.02,125.986751231021,25.02,29.3355028704373,25.02,22.351038927905,25.02,144.088505943689,25.02,158.702161555131
25.09,195.518118387024,25.09,159.969059675964,25.09,50.4833472537711,25.09,41.6915095009293,25.09,406.516539508231,25.09,24.3421195917716,25.09,45.7410499344234,25.09,102.708804262051,25.09,366.821589154719,25.09,125.432699369555,25.09,29.3552561406646,25.09,22.2524022166069,25.09,143.970274410855,25.09,158.229955645122
25.16,195.027551254289,25.16,159.6838733796,25.16,50.2964156332034,25.16,41.5442559064408,25.16,405.411533659093,25.16,24.2589047491176,25.16,45.5355978351039,25.16,102.830492154241,25.16,365.988330293675,25.16,124.719295049208,25.16,29.2515950524034,25.16,22.1500627198324,25.16,143.709778041461,25.16,157.810065098662
25.23,194.557019545995,25.23,159.021099770958,25.23,50.4069848794088,25.23,41.457165108795,25.23,405.204204164537,25.23,24.0965798501887,25.23,45.4884325419255,25.23,102.555478057909,25.23,366.085488078503,25.23,124.401734512008,25.23,29.1677128784909,25.23,22.0871979652542,25.23,143.488766075343,25.23,157.311645008626
25.29,194.026963855718,25.29,158.954783942086,25.29,50.358912753698,25.29,41.4702743761978,25.29,404.259269497273,25.29,24.0332132030444,25.29,45.3424125955207,25.29,102.498683135535,25.29,365.054755454814,25.29,124.024954005725,25.29,29.1628394093383,25.29,21.9849202701914,25.29,143.32692369711,25.29,157.226360939112
25.42,193.860327908737,25.42,158.58379314815,25.42,50.2483491516593,25.42,41.457165108795,25.42,403.828330818457,25.42,24.0372294485663,25.42,45.2708784009196,25.42,102.43648926242,25.42,365.036581926805,25.42,123.630280088201,25.42,29.1874619466248,25.42,21.7913867318056,25.42,143.114481755269,25.42,157.134616176225
25.49,193.263166391013,25.49,157.868199619942,25.49,50.1095416899108,25.49,41.4972392295509,25.49,403.230113329172,25.49,23.9383113125504,25.49,45.231322666203,25.49,102.31749086719,25.49,364.403306181681,25.49,123.155544073411,25.49,29.0294790012951,25.49,21.7716664628962,25.49,142.897796390866,25.49,156.406869375319
25.63,192.745625129021,25.63,157.868199619942,25.63,50.2880104835321,25.63,41.21672038426,25.63,402.811372606362,25.63,23.7998230422057,25.63,44.9742127904805,25.63,102.43648926242,25.63,363.671037902544,25.63,122.403874716769,25.63,28.9504875286303,25.63,21.6730627184133,25.63,142.858399051883,25.63,156.210180272393
25.75,192.215852898177,25.75,157.444334641751,25.75,50.2399534375154,25.75,41.1697614901224,25.75,402.365288220551,25.75,23.6969448552447,25.75,45.0062474276991,25.75,102.221076204605,25.75,363.155168865792,25.75,122.086754109539,25.75,29.0246286288638,25.75,21.6300075402968,25.75,142.657261643693,25.75,155.967757168657
25.82,191.62658642224,25.82,157.10009937403,25.82,49.9738600008476,25.82,41.0827623523516,25.82,401.879469681708,25.82,23.6929861274039,25.82,44.8010210481933,25.82,102.223825952345,25.82,362.837314333936,25.82,121.690644822601,25.82,28.901332256116,25.82,21.6263941076974,25.82,142.5546614742,25.82,155.725424658148
25.95,191.037497605105,25.95,156.875176930531,25.95,49.9456946085391,25.95,41.0158216960891,25.95,401.294141288969,25.95,23.5901601524504,25.95,44.6947006120491,25.95,102.067989759061,25.95,362.53933154187,25.95,121.156280166464,25.95,28.8175506182513,25.95,21.3468292628821,25.95,142.117376405005,25.95,155.404523449705
26.01,190.902309388668,26.01,156.609613417736,26.01,49.9623848991351,26.01,41.069595327166,26.01,401.24883286648,26.01,23.4398011534658,26.01,44.6503100966264,26.01,102.102097692147,26.01,361.750270283552,26.01,120.662774429947,26.01,28.8469263116431,26.01,21.2750948104022,26.01,142.184562969925,26.01,155.299131714089
26.14,190.508295236306,26.14,156.43183195435,26.14,49.9571686648419,26.14,41.028993303703,26.14,400.768832395183,26.14,23.4478272184688,26.14,44.3314775614342,26.14,101.951845249936,26.14,361.450382382412,26.14,120.286039680464,26.14,28.8127380680479,26.14,21.3235572324183,26.14,142.113328218938,26.14,154.808554378979
26.27,189.680909332551,26.27,156.266680013235,26.27,49.8299521088908,26.27,41.002124644262,26.27,400.343261052125,26.27,23.2660071152198,26.27,44.3833570798916,26.27,101.895189050637,26.27,361.093415440563,26.27,119.771846961464,26.27,28.6500760739051,26.27,21.1229539311655,26.27,141.63689842223,26.27,154.66479446387
26.33,189.505532514075,26.33,156.060605653548,26.33,49.8465981593698,26.33,40.8155466976857,26.33,400.29765011692,26.33,23.3133271982064,26.33,44.3191118286926,26.33,101.790465969773,26.33,360.937093174918,26.33,119.21872773976,26.33,28.6991227814984,26.33,21.0314558688433,26.33,141.447938056967,26.33,154.519870795424
26.47,189.064353121654,26.47,155.730435332423,26.47,49.6516323124257,26.47,41.002124644262,26.47,399.765493785175,26.47,23.2264724145001,26.47,44.1462256093893,26.47,101.578134514993,26.47,360.025626025164,26.47,118.80338947077,26.47,28.6303458914873,26.47,20.9259134815483,26.47,141.361337697544,26.47,154.094873229597
26.59,188.368243127106,26.59,155.432516292124,26.59,49.790323888833,26.59,40.8019165268065,26.59,399.307239436516,26.59,23.0288013088334,26.59,44.0474164338051,26.59,101.736656986952,26.59,359.748770417334,26.59,118.665038400671,26.59,28.4724924424865,26.59,20.8865034732794,26.59,141.184197683498,26.59,153.76078378682
26.71,187.99036745062,26.71,155.075023035492,26.71,49.7110722445807,26.71,40.7018124680787,26.71,399.227551368686,26.71,22.9892666081136,26.71,44.0869391448661,26.71,101.578134514993,26.71,359.155541286476,26.71,118.289522289025,26.71,28.5908831287201,26.71,20.8273920577738,26.71,141.144833235933,26.71,153.662516543811
26.77,187.453365023376,26.77,154.975719885967,26.77,49.6120040923679,26.77,40.6817945338513,26.77,398.948623947826,26.77,22.9497319073939,26.77,43.9288530964857,26.77,101.69702397103,26.77,358.72053728404,26.77,117.874469078728,26.77,28.5119552052537,26.77,20.8076858546735,26.77,141.085776972857,26.77,153.642863095209
26.83,186.86526794044,26.83,154.651978174408,26.83,49.5244832073063,26.83,40.7150368951316,26.83,398.623049752038,26.83,22.8668443653025,26.83,43.7832154003609,26.83,101.402670965089,26.83,358.561795701169,26.83,117.479327525042,26.83,28.50719527951,26.83,20.686006625626,26.83,140.845755103481,26.83,153.184938285623
26.91,186.436421636131,26.91,154.626164123636,26.91,49.5360218253238,26.91,40.7082408615988,26.91,398.138261313539,26.91,22.8037464438079,26.91,43.775907235547,26.91,101.603653949061,26.91,358.146134643141,26.91,117.123841782895,26.91,28.4038141694773,26.91,20.6628565512178,26.91,140.645155079433,26.91,153.139722221199
27.09,185.769176610481,27.09,154.501105257378,27.09,49.5079530059687,27.09,40.5613725393049,27.09,398.15146451396,27.09,22.6616397690794,27.09,43.5118349051799,27.09,101.428244706177,27.09,357.789897866273,27.09,116.748716042346,27.09,28.3793511791764,27.09,20.5412421065097,27.09,140.56266581545,27.09,152.721311856372
27.16,185.570401313271,27.16,154.123936464919,27.16,49.4089392474279,27.16,40.4413106875344,27.16,398.231151032259,27.16,22.7406695830347,27.16,43.5118349051799,27.16,101.388631533221,27.16,357.216714810924,27.16,116.274604267087,27.16,28.3990738800631,27.16,20.4427700092157,27.16,140.365942120131,27.16,152.465954529446
27.28,184.675845367353,27.28,154.104081943817,27.28,49.3891326609499,27.28,40.5613725393049,27.28,398.191307773109,27.28,22.582609955124,27.28,43.4920858402502,27.28,101.349018360265,27.28,356.880750620926,27.28,115.820251143682,27.28,28.2807448649363,27.28,20.4624639493283,27.28,140.365942120131,27.28,152.328458855067
27.34,184.636078803601,27.34,153.746758085536,27.34,49.2901189024091,27.34,40.4413106875344,27.34,398.032011431909,27.34,22.582609955124,27.34,43.2945712236413,27.34,101.368824946743,27.34,356.584284560787,27.34,115.346148955347,27.34,28.3990738800631,27.34,20.3836881888781,27.34,140.169208837887,27.34,151.974893071276
27.46,184.258373143358,27.46,154.104081943817,27.46,49.4485428334593,27.46,40.4413106875344,27.46,398.231151032259,27.46,22.4245503272132,27.46,43.4130799936067,27.46,101.210372254918,27.46,356.604033625717,27.46,115.306641238563,27.46,28.3201878699786,27.46,20.3049100316967,27.46,139.854441338451,27.46,152.07310152814
27.53,183.940317328742,27.53,153.726913151359,27.53,49.2901189024091,27.53,40.3812773649179,27.53,397.972265717034,27.53,22.3257642581346,27.53,43.1760672471383,27.53,100.952886630704,27.53,356.070425395626,27.53,114.990569917365,27.53,28.3399081741341,27.53,20.2064379344027,27.53,139.795424229856,27.53,151.660604918077
27.71,183.134478736222,27.71,153.542481163686,27.71,49.3610930353182,27.71,40.4545671696636,27.71,397.686854025775,27.71,22.3417943061329,27.71,43.1096159367301,27.71,101.153877593712,27.71,355.912205477469,27.71,114.477604003077,27.71,28.1774336450123,27.71,20.1439919029309,27.71,139.457382801381,27.71,151.537106556914
27.84,182.518334042903,27.84,153.383690669139,27.84,49.3016927760696,27.84,40.4145532303005,27.84,397.527545923676,27.84,22.262777679198,27.84,43.1293664989669,27.84,101.05486118609,27.84,355.398393714235,27.84,114.003571338743,27.84,28.1379972214827,27.84,20.0849187428992,27.84,139.850774126186,27.84,151.222870846257
27.89,182.061190721283,27.89,153.423393085438,27.89,49.2620957983456,27.89,40.3145159855616,27.89,397.507646788901,27.89,22.1837610522632,27.89,42.9318848399113,27.89,101.213287438286,27.89,354.78581476183,27.89,113.727063467428,27.89,28.098560797953,27.89,20.0061549289122,27.89,139.378706453485,27.89,151.065757783591
28.01,181.673113830743,28.01,153.219194608211,28.01,49.0163158332965,28.01,40.2477816741374,28.01,397.481159161613,28.01,22.1405583356028,28.01,42.8654901454764,28.01,101.038001849889,28.01,354.450038273568,28.01,113.313125472286,28.01,28.2121625493447,28.01,19.9043779916559,28.01,139.139119971687,28.01,150.569294401632
28.08,181.086471416131,28.08,152.91586049036,28.08,49.1466924029829,28.08,40.3210692964112,28.08,397.613858668989,28.08,22.0776236631016,28.08,42.7596344456778,28.08,101.04094481308,28.08,354.232885554138,28.08,113.037547757322,28.08,28.1877437693176,28.08,19.8616884608957,28.08,139.273220560639,28.08,150.56381236815
28.2,180.569879771133,28.2,152.896015904798,28.2,48.9289673073149,28.2,40.2610660154908,28.2,397.613858668989,28.2,22.0183821612986,28.2,42.6411849795172,28.2,101.04094481308,28.2,353.818017772163,28.2,112.800610496492,28.2,28.1483205022261,28.2,19.8420043759659,28.2,138.879960475641,28.2,150.072987063362
28.31,179.794992303635,28.31,152.836491730241,28.31,48.9091754234534,28.31,40.1010636544547,28.31,397.932330250699,28.31,21.9196431309179,28.31,42.6017018241304,28.31,100.941961438454,28.31,353.462444193691,28.31,112.050320349679,28.31,28.010340265172,28.31,19.723897470855,28.31,138.938948051072,28.31,149.915926415395
