X,C9: Sample 57,X,D2: Sample 74,X,D6: Sample 78,X,E4: Sample 100,X,E7: Sample 103
24.56,5.24245693799225,24.56,5.54444981771474,24.56,5.26457560992493,24.56,5.53173503645705,24.56,5.36807609255784
24.63,5.17768439288753,24.63,5.53888775469747,24.63,5.29898694114543,24.63,5.6454557125828,24.63,5.34290257556558
24.82,5.15784618125904,24.82,5.53888775469747,24.82,5.23944769458371,24.82,5.56594259003081,24.82,5.32311358728959
25.02,5.13714965841919,25.02,5.47798359750667,25.02,5.25841512358767,25.02,5.56501214158714,25.02,5.38157957231836
25.09,5.17681884885662,25.09,5.53796182896115,25.09,5.27825842148074,25.09,5.54513703391885,25.09,5.30243865212365
25.16,5.15612201405821,25.16,5.47706800606467,25.16,5.25753623087105,25.16,5.52433843269779,25.16,5.32133417442404
25.23,5.13543269663496,25.23,5.53611090588997,25.23,5.21698490033625,25.23,5.50354678288088,25.23,5.32044491403393
25.29,5.13457464605908,25.29,5.45525501867414,25.29,5.25577932653324,25.29,5.48276208098371,25.29,5.33933171335969
25.42,5.11560443063396,25.42,5.49613878238722,25.42,5.25665763190198,25.42,5.52341524779928,25.42,5.34022398135991
25.49,5.0957767646168,25.49,5.45616665888448,25.49,5.27649429767677,25.49,5.52341524779928,25.49,5.34022398135991
25.63,5.13543269663496,25.63,5.49613878238722,25.63,5.25665763190198,25.63,5.50354678288088,25.63,5.34022398135991
25.75,5.13457464605908,25.75,5.49522046345951,25.75,5.19627987228334,25.75,5.48276208098371,25.75,5.28000562546839
25.82,5.09407419971048,25.82,5.49430245135402,25.82,5.21524183822455,25.82,5.46198432352419,25.82,5.27912356639297
25.95,5.07340501348203,25.95,5.43345660485126,25.95,5.21437074388043,25.95,5.50078903436766,25.95,5.29801035861094
26.01,5.07510038692012,26.01,5.49522046345951,26.01,5.19627987228334,26.01,5.50262722619201,26.01,5.28000562546839
26.14,5.09237277212206,26.14,5.49246734699485,26.14,5.17385371040795,26.14,5.48001520619364,26.14,5.23782922193959
26.27,5.05189965975459,26.27,5.49155025443399,26.27,5.19280932302819,26.27,5.49895207025533,26.27,5.29624111153843
26.33,5.05358728282449,26.33,5.3735290634687,26.33,5.15489116584708,26.33,5.44121410670577,26.33,5.21893553238665
26.47,5.13114530917743,26.47,5.41167334947864,26.47,5.17298981765283,26.47,5.47910019280139,26.47,5.23695464701524
26.59,5.03208854714035,26.59,5.43164212610527,26.59,5.17298981765283,26.59,5.37984140501458,26.59,5.1974307369884
26.71,5.03208854714035,26.71,5.47158087832442,26.71,5.17298981765283,26.71,5.41954515992248,26.71,5.17766878197498
26.77,5.07171077236883,26.77,5.45161150221485,26.77,5.17298981765283,26.77,5.43939703737643,26.77,5.1974307369884
26.83,5.01144006094717,26.83,5.3908038558443,26.83,5.11267642474743,26.83,5.41864039445338,26.83,5.27559827519671
26.91,4.99079876756388,26.91,5.40986674846062,26.91,5.1514494091014,26.91,5.41773593102583,26.91,5.17594029965751
27.09,5.02956914366214,27.09,5.40896390020487,27.09,5.17039986947977,27.09,5.41683176948861,27.09,5.25408533375383
27.16,5.02956914366214,27.16,5.4289226791129,27.16,5.13077950633013,27.16,5.43667370775157,27.16,5.23433267372735
27.28,5.00976735064645,27.28,5.4289226791129,27.28,5.09115974236329,27.28,5.41683176948861,27.28,5.19482855203998
27.34,5.00976735064645,27.34,5.36904514402322,27.34,5.13077950633013,27.34,5.37714789296268,27.34,5.1553244303526
