X,C9: Sample 57,X,D2: Sample 74,X,D6: Sample 78,X,E4: Sample 100,X,E7: Sample 103
27.46,5.00976735064645,27.46,5.4289226791129,27.46,5.09115974236329,27.46,5.39698983122564,27.46,5.17507649119629
27.53,4.97016436379787,27.53,5.38900452211404,27.53,5.11096992393811,27.53,5.43667370775157,27.53,5.17507649119629
27.71,5.00893141416211,27.71,5.3481932103232,27.71,5.11011710065695,27.71,5.37625065486941,27.71,5.11496607695958
27.84,5.00893141416211,27.84,5.42801680180953,27.84,5.09031022463554,27.84,5.31673477263762,27.84,5.15446420601916
27.89,4.98913322484151,27.89,5.36814925796548,27.89,5.11011710065695,27.89,5.31673477263762,27.89,5.15446420601916
28.01,4.96850598396344,28.01,5.36725367083536,28.01,5.06965741879287,28.01,5.35551839849194,28.01,5.15360426871418
28.08,5.00726037782711,28.08,5.30651081113091,28.08,5.08861203940631,28.08,5.37445707666928,28.08,5.13300184283471
28.2,5.04684354666726,28.2,5.40625716264013,28.2,5.10841230762921,28.2,5.37445707666928,28.2,5.15274461829404
28.31,4.96767720898696,28.31,5.32645960232639,28.31,5.16781251341498,28.31,5.33479305863035,28.31,5.13300184283471
28.43,5.00642527769739,28.43,5.32557126683567,28.43,5.06796640564451,28.43,5.29424593034449,28.43,5.11240688779499
28.55,4.94623580364018,28.55,5.36456870151528,28.55,5.0869149868669,28.55,5.31318850965771,28.55,5.11155439373332
28.62,4.94541115612373,28.62,5.34373489654333,28.62,5.0860668850018,28.62,5.33212477267239,28.62,5.13043448612773
28.73,4.96602048822358,28.73,5.36456870151528,28.73,4.98794786007434,28.73,5.35283929974332,28.73,5.09181880117448
28.8,4.94706072622251,28.8,5.32557126683567,28.8,5.04817003845088,28.8,5.27441722886489,28.8,5.05318963695619
28.91,4.92645081971516,28.91,5.30474108933296,28.91,5.0671213220351,28.91,5.33301390470051,28.91,5.07208320861564
29.08,4.92562947079556,29.08,5.30385667101197,29.08,5.04648675400992,29.08,5.31230268296387,29.08,5.07123757953785
29.2,4.9058477854674,29.2,5.28391725895458,29.2,5.06627652021415,29.2,5.29248059325535,29.2,5.03177237656118
29.25,4.94541115612373,29.25,5.26397784689719,29.25,5.00690632372632,29.25,5.31230268296387,29.25,5.09096988173448
29.32,4.90421250287224,29.32,5.3020887187883,29.32,5.08437152937347,29.32,5.2907164330576,29.32,5.01036939433977
29.43,4.94458678353561,29.43,5.32290803733067,29.43,5.025858466837,29.43,5.23214260817367,29.43,5.0703922323834
29.55,4.88525162004252,29.55,5.34284412559875,29.55,5.00607170023512,29.55,5.33123593707101,29.55,5.030933608037
29.67,4.90503000787355,29.67,5.28303645927814,29.67,5.00607170023512,29.67,5.27177958064242,29.67,5.01120459510562
29.78,4.8654732322115,29.78,5.22322819447389,29.78,5.06543200004076,29.78,5.25196139364986,29.78,5.05066262096838
29.89,4.88443741143918,29.89,5.28215595320159,29.89,4.9854538861443,29.89,5.21145510206036,29.89,5.06954716701134
30.01,4.84488722857307,30.01,5.32202088599112,30.01,4.9854538861443,30.01,5.23127058440564,30.01,5.01036939433977
30.07,4.90257831010221,30.07,5.28039582126117,30.07,5.00356949845226,30.07,5.28895344857474,30.07,5.0481381311545
30.18,4.88362347419349,30.18,5.28127574057816,30.18,4.98462311562503,30.18,5.25021103157899,30.18,5.00953447192778
30.3,4.84407988192608,30.3,5.24141685255276,30.3,4.96484294351294,30.3,5.21058667094853,30.3,5.00953447192778
30.41,4.84407988192608,30.41,5.24141685255276,30.41,4.96484294351294,30.41,5.17096231031807,30.41,4.97008929740647
30.47,4.86304130623738,30.47,5.24054357417013,30.47,4.9442385698142,30.47,5.17010077044631,30.47,4.98898037692629
30.58,4.88199641323257,30.58,5.23967058673482,30.58,4.96318882292539,30.58,5.20885067672199,30.58,4.98814929573739
30.69,4.88199641323257,30.69,5.27951619510404,30.69,4.9236413598501,30.69,5.18904509716649,30.69,5.02758132843811
30.79,4.84246599557528,30.79,5.27951619510404,30.79,4.96318882292539,30.79,5.18904509716649,30.79,4.98814929573739
30.91,4.86223120440393,30.91,5.23967058673482,30.91,4.98296240494183,30.91,5.12962835849998,30.91,4.96843342890825
31.01,4.82189753878082,31.01,5.23879789010145,31.01,4.90305101104855,31.01,5.10897170919448,31.01,4.94789302631732
31.08,4.86142137242451,31.08,5.21887840417204,31.08,4.96236217588627,31.08,5.18818083249341,31.08,4.94789302631732
31.18,4.8210945583414,31.18,5.23792548412475,31.18,4.92200151260286,31.18,5.18731685566868,31.18,4.9667786634032
31.36,4.84165945560267,31.36,5.23879789010145,31.36,4.94259158827862,31.36,5.14857627084395,31.36,4.987318491391
31.47,4.8210945583414,31.47,5.13834523811346,31.47,4.90223451629234,31.47,5.18731685566868,31.47,4.98648796374881
31.53,4.76181897954982,31.53,5.19809314656597,31.53,4.92200151260286,31.53,5.16751787247606,31.53,4.9667786634032
31.62,4.8210945583414,31.62,5.19809314656597,31.62,4.92200151260286,31.62,5.14771888928344,31.62,4.94706906411477
31.73,4.84004718139168,31.73,5.21714051592556,31.73,4.96070970762923,31.73,5.1666574798899,31.73,4.94624537629191
31.84,4.80053680809081,31.84,5.17731540824372,31.84,4.90141829342915,31.84,5.14686179323128,31.84,4.94624537629191
31.95,4.84004718139168,31.95,5.17731540824372,31.95,4.84212687922907,31.95,5.14686179323128,31.95,4.92653935754809
32.06,4.77998560359498,32.06,5.21627200576809,32.06,4.92036275731316,32.06,5.16579737376706,32.06,4.92571922447708
32.17,4.77919000013233,32.17,5.17559193440609,32.17,4.8405149861268,32.17,5.10557026331619,32.17,4.96429858084824
32.27,4.73969248062556,32.27,5.17559193440609,32.27,4.91954378881161,32.27,5.14514845708173,32.27,4.92489936441975
32.38,4.79893875988572,32.38,5.21540378472851,32.38,4.91954378881161,32.38,5.12535936019896,32.38,4.92489936441975
32.48,4.81948939950725,32.48,5.15654399007683,32.48,4.92036275731316,32.48,5.12621259132268,32.48,4.92571922447708
32.59,4.77839466147363,32.59,5.17473062771039,32.59,4.83970944194538,32.59,5.045363795988,32.59,4.8846871175123
32.64,4.81788530917625,32.64,5.15482771649052,32.64,4.89897125484032,32.64,5.10472060941982,32.64,4.92407977723978
32.76,4.81788530917625,32.76,5.15482771649052,32.76,4.87921711804612,32.76,5.08493480577999,32.76,4.92407977723978
32.86,4.71837302412646,32.86,5.17386960763923,32.86,4.85865471705399,32.86,5.06430621528458,32.86,4.86418145433545
33.02,4.77680477803943,33.02,5.133216295936,33.02,4.87759368862738,33.02,5.08324292928498,33.02,4.9224414209672
33.13,4.75785739969995,33.13,5.13407040846445,33.13,4.81915361460984,33.13,5.08408872677737,33.13,4.90356755954384
33.23,4.79734177527344,33.23,5.19376860983838,33.23,4.87840526827607,33.23,5.06430621528458,33.23,4.8444882523842
33.32,4.79734177527344,33.32,5.15397000805184,33.32,4.85865471705399,33.32,5.12365374976296,33.32,4.90356755954384
33.43,4.73732697115261,33.43,5.19290456581745,33.43,4.87759368862738,33.43,5.06346370884383,33.43,4.88306186809706
33.53,4.75627461280717,33.53,5.21193378886376,33.53,4.91627063925152,33.53,5.00329428841459,33.53,4.88224964889079
33.63,4.75627461280717,33.63,5.15225544717092,33.63,4.83729441727375,33.63,5.02307021889891,33.63,4.90193629954399
33.74,4.71601893813404,33.74,5.17128826574285,33.74,4.79700825142339,33.74,5.02223485049397,33.74,4.86175462174556
33.84,4.77521595223599,33.84,5.11161925184618,33.84,4.81674924726512,33.84,5.08155217826908,33.84,4.88143769983892
33.94,4.69628660010006,33.94,5.19117733995155,33.94,4.87597133915502,33.94,5.06177953664731,33.94,4.86175462174556
34.1,4.79494829026998,34.1,5.11161925184618,34.1,4.81674924726512,34.1,5.02223485049397,34.1,4.86175462174556
34.14,4.69550570774886,34.14,5.09088293445808,34.14,4.81594832454359,34.14,5.06093787061195,34.14,4.9003061245192
34.24,4.67577665078206,34.24,5.13065566259916,34.24,4.79621061120865,34.24,5.00163040604398,34.24,4.88062602080669
34.35,4.73417662902716,34.35,5.14968574370599,34.35,4.77567910273718,34.35,5.0600964844323,34.35,4.86013807823044
34.4,4.73338969807153,34.4,5.10907023958629,34.4,4.87353983748989,34.4,5.07901815956316,34.4,4.91835029611599
34.55,4.69472507504599,34.55,5.12980268576414,34.55,4.85461593507805,34.55,5.00079887979194,34.55,4.80110788105181
34.71,4.71366719996676,34.71,5.1687094983231,34.71,4.85380898429097,34.71,5.01973041157251,34.71,4.87900347226254
34.76,4.6742222037572,34.76,5.1687094983231,34.76,4.83407813109206,34.76,5.01973041157251,34.76,4.83965664840908
34.86,4.69394470186198,34.86,5.14882974541083,34.86,4.83407813109206,34.86,4.99996762997815,34.86,4.83965664840908
34.96,4.71366719996676,34.96,5.10907023958629,34.96,4.77488527309909,34.96,4.98020484838378,34.96,4.81998338568046
35.1,4.71288380837627,35.1,5.12809758266102,35.1,4.79381928133768,35.1,4.99913665646477,35.1,4.85852260936614
35.2,4.73181662073751,35.2,5.16699174840674,35.2,4.8324715913343,35.2,5.01806217281825,35.2,4.83804825470739
35.3,4.73181662073751,35.3,5.12724545611022,35.3,4.81274729541461,35.3,4.99830595911408,35.3,4.81838153011859
35.4,4.75153256433976,35.4,5.08749916381371,35.4,4.81274729541461,35.4,5.03781838652242,35.4,4.87738200218203
35.49,4.69238473353301,35.49,5.12724545611022,35.49,4.87192018317367,35.49,4.99830595911408,35.49,4.83804825470739
35.64,4.67189247014509,35.64,5.10652376829226,35.64,4.79222638574661,35.64,5.01722846918429,35.64,4.81758100153741
35.74,4.71053519518272,35.74,5.12554205230421,35.74,4.83086611904482,35.74,4.99664539235025,35.74,4.83644092970582
35.79,4.71131780611397,35.79,5.16613330153045,35.79,4.85138974073675,35.79,4.99747553778842,35.79,4.83724445868567
35.88,4.75074314208285,35.88,5.12639361270499,35.88,4.87111075965096,35.88,4.99747553778842,35.88,4.87657167122968
36.02,4.71053519518272,36.02,5.10567550853008,36.02,4.83086611904482,36.02,4.97689574217223,36.02,4.85610141869702
36.17,4.71053519518272,36.17,5.14540859607833,36.17,4.87030160503973,36.17,4.97689574217223,36.17,4.87576160949027
36.23,4.70975284421193,36.23,5.10482753053498,36.23,4.84977825103712,36.23,5.03530826276232,36.23,4.85529489130644
36.37,4.69004672419891,36.37,5.10482753053498,36.37,4.79063454838213,36.37,4.95632278256189,36.37,4.89460904050132
36.42,4.76887120425096,36.42,5.14455401899876,36.42,4.83006378286826,36.42,4.93657641251178,36.42,4.85529489130644
36.56,4.70897075307207,36.56,5.12383977995206,36.56,4.82926171316005,36.56,4.93575665555189,36.56,4.81518101100194
36.66,4.72945896422494,36.66,5.14455401899876,36.66,4.84977825103712,36.66,4.976069152612,36.66,4.87495181682967
36.8,4.70897075307207,36.8,5.10397983416657,36.8,4.78983902620538,36.8,4.97524283757503,36.8,4.8348346723396
36.84,4.72867360073038,36.84,5.10397983416657,36.84,4.84897290758792,36.84,4.93575665555189,36.84,4.81518101100194
36.98,4.70897075307207,36.98,5.08411988838108,36.98,4.80955051873217,36.98,4.95549974656346,36.98,4.8348346723396
37.03,4.76728765080442,37.03,5.14284571615334,37.03,4.82845990978745,37.03,4.97441679692459,37.03,4.85368263997278
37.17,4.68771104355937,37.17,5.08243193357086,37.17,4.82765837261783,37.17,5.03280063912548,37.17,4.87252405198065
37.26,4.68848934524351,37.26,5.14284571615334,37.26,4.78904376819008,37.26,4.99415660998647,37.26,4.87333303820877
37.36,4.76649626839227,37.36,5.06257858139287,37.36,4.82765837261783,37.36,4.97359103052404,37.36,4.81358234532764
37.46,4.74679996218405,37.46,5.10228528574886,37.46,4.80795372241121,37.46,4.97359103052404,37.46,4.87252405198065
37.58,4.7074073497676,37.58,5.10228528574886,37.58,4.82765837261783,37.58,4.97359103052404,37.58,4.85287691576296
37.74,4.72710365597582,37.74,5.08243193357086,37.74,4.82765837261783,37.74,4.97359103052404,37.74,4.83322948154533
37.83,4.72631907445616,37.83,5.10143843341927,37.83,4.80715572179339,37.83,4.95303227780998,37.83,4.87171533429567
37.87,4.7066260373444,37.87,5.10143843341927,37.87,4.88596153864489,37.87,4.97276553823682,37.87,4.87171533429567
37.97,4.72631907445616,37.97,5.06173831938766,37.97,4.82685710151864,37.97,5.01223205909049,37.97,4.87171533429567
38.11,4.72553475333527,38.11,5.10059186215584,38.11,4.78665957779768,38.11,4.95221033418605,38.11,4.85126626959112
38.24,4.80429353183539,38.24,5.12043862510311,38.24,4.86545231701612,38.24,4.95221033418605,38.24,4.87090688502015
38.34,4.72475069248355,38.34,5.1195890417905,38.34,4.82525535700179,38.34,4.93166195117529,38.34,4.83082369285367
38.41,4.72475069248355,38.41,5.13943251176233,38.41,4.78586537511346,38.41,4.93166195117529,38.41,4.87009870402048
38.51,4.74443719465683,38.51,5.1195890417905,38.51,4.82525535700179,38.51,4.97111537545658,38.51,4.88973635852969
38.6,4.7641236968301,38.6,5.1195890417905,38.6,4.84495019902016,38.6,4.95138866331594,38.6,4.90937371518729
38.73,4.7641236968301,38.73,5.13943251176233,38.73,4.84495019902016,38.73,4.97111537545658,38.73,4.90937371518729
38.79,4.76333336443182,38.79,5.11873974035689,38.79,4.84414645811123,38.79,5.00973758394496,38.79,4.9085592869001
38.92,4.80269953928999,38.92,5.13857991844584,38.92,4.86383803290298,38.92,4.93084382543687,38.92,4.88892518793272
39.05,4.74286332264002,39.05,5.13772760796012,39.05,4.84334298382725,39.05,4.98918647569224,39.05,4.92737597114102
39.15,4.76254329421049,39.15,5.15756449525821,39.15,4.86303129247622,39.15,4.93002597109528,39.15,4.94700711125165
39.23,4.78222326578096,39.23,5.15756449525821,39.23,4.86303129247622,39.23,4.96946630749326,39.23,4.92737597114102
39.36,4.80190293959862,39.36,5.13772760796012,39.36,4.882719898878,39.36,5.02862681209022,39.36,4.94700711125165
39.5,4.76175348603566,39.5,5.13687558016443,39.5,4.90159520450749,39.5,4.9686421837275,39.5,4.92655882753055
39.58,4.86013672780018,39.58,5.13687558016443,39.58,4.88191016091799,39.58,4.9686421837275,39.58,4.90693124070213
39.67,4.76096393977699,39.67,5.13602383491818,39.67,4.86141861421641,39.67,4.92839107606259,39.67,4.92574195490121
39.76,4.78143019392925,39.76,5.15670917776315,39.76,4.88191016091799,39.76,4.9686421837275,39.76,4.94618671206239
39.85,4.80110660411942,39.85,5.19637577755371,39.85,4.92128024809698,39.85,4.9686421837275,39.85,4.94618671206239
39.98,4.85933086861799,39.98,5.17568385759056,39.98,4.86141861421641,39.98,5.02695921905023,39.98,4.94536658493388
40.06,4.80031053272095,40.06,5.17568385759056,40.06,4.92046425070881,40.06,5.02695921905023,40.06,4.94536658493388
40.15,4.87819546041669,40.15,5.17482581981576,40.15,4.93932733819979,40.15,4.98670511637078,40.15,4.98378918535123
40.28,4.87900431391701,40.28,5.17568385759056,40.28,4.92046425070881,40.28,4.96781833325764,40.28,4.96499091731248
40.37,4.87819546041669,40.37,5.19465284128795,40.37,4.93932733819979,40.37,4.98670511637078,40.37,5.02303134336693
40.5,4.8380530283502,40.5,5.21361553657701,40.5,4.95818387483272,40.5,4.98587854499396,40.5,4.98296309730459
40.59,4.89624222171558,40.59,5.19293104717416,40.59,4.93769017302306,40.59,5.0047560749122,40.59,5.04098160458535
40.72,4.85771995170481,40.72,5.21361553657701,40.72,4.99753438464365,40.72,5.00558563832591,40.72,5.06143499927787
40.8,4.89786564420289,40.8,5.2541339057045,40.8,4.95900585491807,40.8,5.06554596285345,40.8,5.00341026435908
40.89,4.91672072176863,40.89,5.2730867417089,40.89,5.0172099371045,40.89,5.00558563832591,40.89,4.98296309730459
41.01,4.87738687505942,41.01,5.19379180153305,41.01,4.97785912973819,41.01,5.02529273165787,41.01,5.06143499927787
41.09,4.89705379841402,41.09,5.21361553657701,41.09,4.97785912973819,41.09,5.064706323211,41.09,5.08105282599349
41.23,4.89624222171558,41.23,5.2127514968792,41.23,5.03605014389203,41.23,5.04416313454761,41.23,5.09982533108951
41.31,4.95441183371585,41.31,5.29115581043027,41.31,5.05488470194545,41.31,5.08272844109423,41.31,5.07936896424503
41.44,4.91509131970674,41.44,5.29115581043027,41.44,4.99587820092049,41.44,5.06302787869627,41.44,5.11859220988779
41.5,4.91509131970674,41.5,5.31097297588515,41.5,5.01554723289999,41.5,5.04332731629831,41.5,5.11859220988779
41.62,4.95441183371585,41.62,5.27133923988894,41.62,5.09422217099091,41.62,5.06302787869627,41.62,5.13820353525239
41.74,5.03305315919087,41.74,5.25152207443406,41.74,5.03521566996595,41.74,5.08272844109423,41.74,5.15781486061699
41.87,5.01256246889831,41.87,5.3100930930197,41.87,5.05404724589808,41.87,5.1015836706553,41.87,5.1373522755547
41.95,4.992905617764,41.95,5.3100930930197,41.95,5.05404724589808,41.95,5.08188637210134,41.95,5.15696035185943
42.07,5.07069354197674,42.07,5.34883470208835,42.07,5.11219702003089,42.07,5.14012668945151,42.07,5.27373569083635
42.16,5.05103994690524,42.16,5.38845530780926,42.16,5.13185953584939,42.16,5.0810445820778,42.16,5.1561061261924
42.29,5.05103994690524,42.29,5.36864530230704,42.29,5.15152145695143,42.29,5.12043265366027,42.29,5.23452603419386
42.37,5.11000132683623,42.37,5.38845530780926,42.37,5.13185953584939,42.37,5.14012668945151,42.37,5.2541308625151
42.45,5.11000132683623,42.45,5.34883470208835,42.45,5.13185953584939,42.45,5.14012668945151,42.45,5.23452603419386
42.58,5.1296555166242,42.58,5.42807650824663,42.58,5.17118397276994,42.58,5.14012668945151,42.58,5.31294594219531
42.65,5.1288059545976,42.65,5.36775615932885,42.65,5.1506682735369,42.65,5.15896616732203,42.65,5.29246444260645
42.77,5.16810663477206,42.77,5.40737020317402,42.77,5.22930471634611,42.77,5.17865694143129,42.77,5.31206602402005
42.86,5.18603976895756,42.86,5.42538044375578,42.86,5.16861550390929,42.86,5.19662640834997,42.86,5.36909292865273
42.98,5.16639534118438,42.98,5.42538044375578,42.98,5.22757315849301,42.98,5.19662640834997,42.98,5.38868801947647
43.11,5.14675150783228,43.11,5.42538044375578,43.11,5.20792040882475,43.11,5.19662640834997,43.11,5.36909292865273
43.23,5.20568360230966,43.23,5.52438365191767,43.23,5.22757315849301,43.23,5.21631066233535,43.23,5.38868801947647
43.31,5.28426012456022,43.31,5.48478272530556,43.31,5.30618296832392,43.31,5.25567857588503,43.31,5.42787820112394
43.43,5.24410363435641,43.43,5.54326665305462,43.43,5.36425250163253,43.43,5.25480857446542,43.43,5.44657154169243
43.55,5.28426012456022,43.55,5.54418441243426,43.55,5.30618296832392,43.55,5.25567857588503,43.55,5.46706897719249
43.64,5.32266714940249,43.64,5.54326665305462,43.64,5.34460359951484,43.64,5.31385156109264,43.64,5.46616398315554
43.72,5.32266714940249,43.72,5.52346917026696,43.72,5.32495410307446,43.72,5.27448957000783,43.72,5.48575583029598
43.83,5.34230773100267,43.83,5.56306413584227,43.83,5.34460359951484,43.83,5.31385156109264,43.83,5.5641238131804
43.96,5.36194890692553,43.96,5.52346917026696,43.96,5.36425250163253,43.96,5.35321355217746,43.96,5.52493952457685
44.04,5.40033671697018,44.04,5.64131963396239,44.04,5.40265656869438,44.04,5.29329433738646,44.04,5.58279151009569
44.13,5.379808389903,44.13,5.62059517373499,44.13,5.46069091870547,44.13,5.35144184489559,44.13,5.64062434883792
44.25,5.45924930396842,44.25,5.64131963396239,44.25,5.48124095162752,44.25,5.35232755192056,44.25,5.64155791791254
44.36,5.45834590345478,44.36,5.64038610431917,44.36,5.46069091870547,44.36,5.35144184489559,44.36,5.67979507482679
44.44,5.45834590345478,44.44,5.66017703490335,44.44,5.49997690513483,44.44,5.41046469644478,44.44,5.66020971183236
44.56,5.51724874155562,44.56,5.69975889607172,44.56,5.49997690513483,44.56,5.41046469644478,44.56,5.67979507482679
44.68,5.53688341700655,44.68,5.67996796548754,44.68,5.51961930422353,44.68,5.44981366022823,44.68,5.71896639494164
44.8,5.53596732114007,44.8,5.73839057010234,44.8,5.53834580797801,44.8,5.46858319702695,44.8,5.73760229536858
44.88,5.57522898674123,44.88,5.75817822621091,44.88,5.63654333600167,44.88,5.46858319702695,44.88,5.77676654042992
44.95,5.5565174983315,44.95,5.75913109369829,44.95,5.61783308204498,44.95,5.48916262401168,44.95,5.85606453002867
45.08,5.67338493282716,45.08,5.81754119453663,45.08,5.6758222284056,45.08,5.56693933044165,45.08,5.8942604636693
45.18,5.71170157831278,45.18,5.81657882213059,45.18,5.63561090534229,45.18,5.56601841409253,45.18,5.87370651676458
45.26,5.65281822833041,45.26,5.83636320484692,45.26,5.69451979428946,45.26,5.58568579271426,45.26,5.8932853999036
45.38,5.73038180361408,45.38,5.91452172627807,45.38,5.69357792862716,45.38,5.60442664754043,45.38,5.93146194832418
45.5,5.75000614258972,45.5,5.9540839470919,45.5,5.73284382768262,45.5,5.58476192804461,45.5,6.00976512143116
45.62,5.75000614258972,45.62,5.87495950546424,45.62,5.75247707412594,45.62,5.62409136703624,45.62,5.99018947661221
45.7,5.82850468615462,45.7,5.91452172627807,45.7,5.83100887223687,45.7,5.70275024501949,45.7,6.04891700490024
45.81,5.79021310757554,45.81,5.95506890721549,45.81,5.81233757218381,45.81,5.70369362802115,45.81,6.0694965360136
45.93,5.88640469375462,45.93,6.01243223654291,45.93,5.86930459029879,45.93,5.72146864155111,45.93,6.16535172703528
46,5.88640469375462,46,6.0717657540823,46,5.90856399590311,46,5.76079098285094,46,6.16535172703528
46.11,5.9060263811616,46.11,6.11132083870891,46.11,5.94782340150743,46.11,5.80011391788375,46.11,6.20449713590812
46.2,5.92466770508116,46.2,6.09053579995909,46.2,5.90758705079797,46.2,5.8188131209515,46.2,6.20347126005893
46.35,6.04237658265889,46.35,6.13008493802795,46.35,5.98609287939894,46.35,5.79915490433912,46.35,6.22304043145036
46.43,6.06099228390935,46.43,6.16861413328376,46.43,5.98510327898905,46.43,5.85716110822584,46.43,6.30027599834957
46.51,6.10022209002551,46.51,6.20815613968765,46.51,6.0635967228115,46.51,5.85716110822584,46.51,6.39810627330082
46.62,6.15906650243143,46.62,6.20815613968765,46.62,6.02435029766861,46.62,5.89647104179228,46.62,6.41767220958374
46.74,6.15906650243143,46.74,6.26747003959849,46.74,6.0635967228115,46.74,5.91612600857549,46.74,6.47637061196916
46.84,6.21791150837401,46.84,6.26747003959849,46.84,6.12246665729417,46.84,5.93578097535871,46.84,6.47637061196916
46.96,6.23752611466376,46.96,6.32678334597266,46.96,6.16171308243706,46.96,5.9947452821717,46.96,6.515502484535
47.08,6.25714131449018,47.08,6.34655464594294,47.08,6.22058301691973,47.08,5.9947452821717,47.08,6.59376682320334
47.19,6.3345531265192,47.19,6.38504169261971,47.19,6.31765496342519,47.19,6.05270956926805,47.19,6.59267694438958
47.26,6.39338840601452,47.26,6.38504169261971,47.26,6.23917508716426,47.26,6.09201300532481,47.26,6.69049104904746
47.34,6.39338840601452,47.34,6.44434519514159,47.34,6.31765496342519,47.34,6.05270956926805,47.34,6.71005434472989
47.45,6.47183445627735,47.45,6.48388125911522,47.45,6.33727522920971,47.45,6.09201300532481,47.45,6.74917974921761
47.6,6.50998174808703,47.6,6.58163295239545,47.6,6.41469482533423,47.6,6.1695995154848,47.6,6.86542177566056
47.67,6.50998174808703,47.67,6.56186818731195,47.67,6.3950783953734,47.67,6.20889645617946,47.67,6.86542177566056
47.78,6.56880671100942,47.78,6.60139771747894,47.78,6.47354530189772,47.78,6.22854492652679,47.78,6.96322030871022
47.89,6.6069316763904,47.89,6.65959084248553,47.89,6.49208942990407,47.89,6.24716097893015,47.89,6.98162598092876
48.01,6.6461420361387,48.01,6.73863683952467,48.01,6.60977034151478,48.01,6.32574128064586,48.01,7.02073845567277
48.08,6.76265569045126,48.08,6.69800709825919,48.08,6.5694578690167,48.08,6.32469622178569,48.08,7.0782381909402
48.19,6.82146121674291,48.19,6.75728180180465,48.19,6.64789944206841,48.19,6.34433819999016,48.19,7.13689780369907
48.31,6.82033444746364,48.31,6.7561656336841,48.31,6.6468013417311,48.31,6.38256770939607,48.31,7.174818484133
48.42,6.86066509865216,48.42,6.79679767769051,48.42,6.68711993202204,48.42,6.48183204742149,48.42,7.21511042299607
48.49,6.86066509865216,48.49,6.85607238123597,48.49,6.74595096352471,48.49,6.48183204742149,48.49,7.31287604883122
