X,C5: Sample 53,X,C6: Sample 54,X,C12: Sample 60,X,D1: Sample 73,X,D3: Sample 75,X,D9: Sample 81,X,D10: Sample 82,X,E5: Sample 101,X,G5: Sample 149,X,H5: Sample 173,X,H6: Sample 174,X,H7: Sample 175,X,H8: Sample 176,X,H11: Sample 179
24.25,70.0224146883893,24.25,91.308215096457,24.25,46.1411527529627,24.25,23.2425180758489,24.25,175.060054933803,24.25,15.3396674112489,24.25,33.6787397978318,24.25,81.4529476233342,24.25,178.407997243488,24.25,73.4333065278504,24.25,20.6497440063329,24.25,24.0327641278347,24.25,101.076853756079,24.25,91.7163305910558
24.46,69.8846610824082,24.46,90.6811576086647,24.46,46.0192925294126,24.46,23.1191379689269,24.46,173.761115647304,24.46,15.2686083368422,24.46,33.4431236142485,24.46,81.1550200121956,24.46,177.711470537193,24.46,73.2328393822749,24.46,20.5448567549043,24.46,23.8801399496388,24.46,100.691789606176,24.46,91.3985714668434
24.6,69.6542161814995,24.6,90.1595596819102,24.6,45.6826047054383,24.6,23.1036738447171,24.6,172.930094468184,24.6,15.1922647580163,24.6,33.336276869828,24.6,80.9254197202987,24.6,176.917226894342,24.6,72.7595842081705,24.6,20.4686511659279,24.6,23.7127202918115,24.6,100.372519990858,24.6,90.8976294166235
24.66,69.6315533488392,24.66,89.7161533256885,24.66,45.530048189501,24.66,22.9724821942062,24.66,172.104611503404,24.66,15.1415314549866,24.66,33.1575820571977,24.66,80.6389680726247,24.66,176.126753039271,24.66,72.5069927462863,24.66,20.3705756028345,24.66,23.476781167747,24.66,100.005498837627,24.66,90.5949052625022
24.78,69.4585658859933,24.78,89.2245789873566,24.78,45.3385350590469,24.78,22.8216020555233,24.78,171.194021074787,24.78,15.0218652435383,24.78,33.0561476832298,24.78,80.3460047213606,24.78,175.682002365516,24.78,72.2745675096544,24.78,20.3129362362438,24.78,23.4501648515209,24.78,99.7937557412216,24.78,89.9721956100088
24.86,69.2824154182269,24.86,88.7662126676593,24.86,45.0025580053892,24.86,22.829634560266,24.86,170.553820044762,24.86,15.0017181553892,24.86,32.8775730646766,24.86,80.0444889382603,24.86,175.044725254143,24.86,72.0832014608954,24.86,20.1539932988422,24.86,23.3208368055003,24.86,99.3813885264865,24.86,89.624301763285
24.93,69.2056379341625,24.93,88.3215356672172,24.93,44.9872624909858,24.93,22.6905235044315,24.93,169.800100341537,24.93,14.9559343598246,24.93,32.7707784575745,24.93,79.9526936361324,24.93,174.403535513094,24.93,71.7322525291072,24.93,20.1387588776336,24.93,23.2295617211825,24.93,99.275019720439,24.93,89.4422292323541
25,69.1093992990497,25,87.8451457525854,25,44.7038967925681,25,22.586001171687,25,169.073896082498,25,14.8515220963862,25,32.5930039166679,25,79.6596663006345,25,174.065451792392,25,71.6676134467588,25,20.0963262236482,25,22.9746837586218,25,99.0175981883064,25,89.13810287003
25.06,68.9138938620477,25.06,87.6468594501898,25.06,44.5589584667461,25.06,22.5668690268776,25.06,168.415735952943,25.06,14.8033226335971,25.06,32.5114174813137,25.06,79.3254331434939,25.06,173.884472919728,25.06,71.5186262887243,25.06,20.0930574653165,25.06,22.8796717381039,25.06,98.6064009862399,25.06,89.0325715916863
25.2,68.9292523209549,25.2,87.4935192338972,25.2,44.4212877292614,25.2,22.4277598223521,25.2,168.031196871877,25.2,14.8185838987853,25.2,32.4198813624364,25.2,79.5090237477498,25.2,173.39594951852,25.2,71.3965509776902,25.2,20.0321234830997,25.2,22.8036088592875,25.2,98.5912054425189,25.2,88.6532606070464
25.33,68.9138938620477,25.33,87.1408448821835,25.33,44.2071357171415,25.33,22.3350185013594,25.33,167.446686805116,25.33,14.7422784984988,25.33,32.2520602076708,25.33,79.1571417562594,25.33,173.182219604837,25.33,71.1676699517003,25.33,19.910255518666,25.33,22.6971215694683,25.33,98.378460425188,25.33,88.2739422171707
25.4,68.7533312723862,25.4,86.5760086796672,25.4,44.0857182282487,25.4,22.3277550807086,25.4,166.792529540243,25.4,14.7222279594136,25.4,32.1958185572896,25.4,79.0090530658366,25.4,172.46965432941,25.4,70.9614762777873,25.4,19.7514952231035,25.4,22.5832877319158,25.4,98.1186009958876,25.4,88.0783903173385
25.46,68.6528593025116,25.46,86.4815049083561,25.46,43.8247219387301,25.46,22.2113640238056,25.46,166.477622846818,25.46,14.6659721725578,25.46,32.0232125052417,25.46,78.8817632551113,25.46,171.991442888737,25.46,70.7404174709345,25.46,19.7883875542324,25.46,22.4232963165149,25.46,97.9833688832042,25.46,87.7429053576276
25.54,68.5384271893418,25.54,86.1468075454356,25.54,43.7951794563837,25.54,22.1732377124908,25.54,165.762278033619,25.54,14.6306901463628,25.54,31.9365419260617,25.54,78.8255221658423,25.54,171.843937735706,25.54,70.6869054048932,25.54,19.7819523062473,25.54,22.4768332214026,25.54,97.7236379389581,25.54,87.5626945463073
25.72,68.4770281378513,25.72,85.8555655049557,25.72,43.6881382717892,25.72,22.1577861607397,25.72,165.285595163644,25.72,14.5086406543152,25.72,31.8450318736142,25.72,78.5502258158508,25.72,171.538704351204,25.72,70.4123345319992,25.72,19.6905810568158,25.72,22.2335133849044,25.72,97.7084473368772,25.72,87.1380017340383
25.85,68.4352009371569,25.85,85.6423632033035,25.85,43.5892999364005,25.85,22.0769368054553,25.85,165.120357867218,25.85,14.5215357311682,25.85,31.6263696201918,25.85,78.3386700818826,25.85,171.022531277724,25.85,70.1111062516982,25.85,19.6112486026918,25.85,22.1690777723333,25.85,97.3887923164464,25.85,86.759867797758
25.98,68.2706217523401,25.98,85.3985924707336,25.98,43.2917665309062,25.98,22.0115621126916,25.98,164.586248507128,25.98,14.4886725886966,25.98,31.4992587560833,25.98,78.295357688746,25.98,170.826919832579,25.98,70.0844649109695,25.98,19.5928363025953,25.98,22.1806765307291,25.98,97.2666548425702,25.98,86.685118639285
25.98,68.2399322069348,25.98,85.1993805409615,25.98,43.2306205533535,25.98,22.0270086411814,25.98,164.017496560521,25.98,14.3514114322483,25.98,31.4382718875795,25.98,78.0660186455558,25.98,170.39973793748,25.98,70.1759563143564,25.98,19.4862720919732,25.98,21.9222316322027,25.98,97.0996125423801,25.98,86.60930132733
26.12,68.066859118365,26.12,85.0599738198045,26.12,43.1000488886148,26.12,21.906995518216,26.12,163.798161360804,26.12,14.3995060813401,26.12,31.3061420582682,26.12,78.0328349778439,26.12,170.168028589169,26.12,69.9433410419175,26.12,19.5351173485445,26.12,21.8041536534274,26.12,96.7964403470317,26.12,86.3655758851916
26.19,67.851989973393,26.19,84.8760582664369,26.19,42.9930251062613,26.19,21.9378935976402,26.19,163.398429254591,26.19,14.3842522594612,26.19,31.2603963210826,26.19,77.9410844466323,26.19,170.045961006018,26.19,69.8213326717584,26.19,19.4285358132256,26.19,21.8041536534274,26.19,96.9027572742924,26.19,86.0622721365639
26.31,67.9987038108838,26.31,84.6033336567679,26.31,42.8109217171717,26.31,21.8072106570667,26.31,163.191635701235,26.31,14.2880844772643,26.31,31.1435274705859,26.31,77.7628896629537,26.31,169.929674515852,26.31,69.6766615068663,26.31,19.3308921211278,26.31,21.7362669534438,26.31,96.5979546264316,26.31,85.9585004609535
26.44,67.7839045079873,26.44,84.4041541033862,26.44,42.6427966823658,26.44,21.7763226208992,26.44,162.792033525822,26.44,14.2728356135593,26.44,31.0368196460347,26.44,77.7323160935576,26.44,169.487304859532,26.44,69.4937010396695,26.44,19.2852296961192,26.44,21.5842648149869,26.44,96.5675882351437,26.44,85.6704562975894
26.56,67.8102711708399,26.56,84.2952859224244,26.56,42.6344426469513,26.56,21.7644139566444,26.56,162.511052084565,26.56,14.244652960578,26.56,31.0113693583691,26.56,77.4544552641361,26.56,169.453830940949,26.56,69.3830086170738,26.56,19.2883644863819,26.56,21.5725709959674,26.56,96.188450521899,26.56,85.4417739265909
26.62,67.595436952582,26.62,83.9428482782524,26.62,42.4357154447471,26.62,21.6562882572158,26.62,162.265106496911,26.62,14.1836485160747,26.62,30.7979190188164,26.62,77.408587455498,26.62,169.041908713713,26.62,69.2915172136868,26.62,19.1056795465486,26.62,21.5117598874596,26.62,96.2947501674745,26.62,85.2749832407108
