X,C10: Sample 58,X,D7: Sample 79,X,E11: Sample 107,X,F4: Sample 124,X,G6: Sample 150
24.25,8.29731943361455,24.25,5.17183747048526,24.25,10.1980453073039,24.25,10.1147934235895,24.25,11.3985966686756
24.46,8.27661913473867,24.46,5.13788858904775,24.46,10.1914070353382,24.46,10.0928943221648,24.46,11.4064261824763
24.6,8.2001255266804,24.6,5.15317953136587,24.6,10.1914070353382,24.6,10.0316323856168,24.6,11.3759276474136
24.66,8.19745751772426,24.66,5.1209304853899,24.66,10.1576340044896,24.66,10.0283684739898,24.66,11.4027149652378
24.78,8.19879130514986,24.78,5.09118586424964,24.78,10.0678986046343,24.78,9.98406072471331,24.78,11.3588299128501
24.86,8.18083327806066,24.86,5.0895296554454,24.86,10.0646234261682,24.86,10.0420448624228,24.86,11.2789256505328
24.93,8.21141597597737,24.93,5.07424571172277,24.93,10.0646234261682,24.93,10.0420448624228,24.93,11.2941674769772
25,8.1515764709167,25,5.05978476487147,25,10.0662607489966,25,9.96712646974589,25,11.2807605172402
25.06,8.1043769960961,25.06,5.05896176800015,25.06,10.0493973358497,25.06,9.96550527155628,25.06,11.2789256505328
25.2,8.18083327806066,25.2,5.10481359916803,25.2,10.1255287130966,25.2,9.95019679799029,25.2,11.2941674769772
25.33,8.13495969401282,25.33,5.07424571172277,25.33,10.0037181392399,25.33,9.91958077651278,25.33,11.2179583447552
25.4,8.1170273398265,25.4,5.02675909318916,25.4,9.98524283347073,25.4,9.9010523267383,25.4,11.2295470979732
25.46,8.1043769960961,25.46,5.02839434338213,25.46,10.0037181392399,25.46,9.93488925007877,25.46,11.248441997644
25.54,8.10174142634127,25.54,4.99620114652032,25.54,9.97002169472634,25.54,9.91635489658546,25.54,11.1838364887145
25.72,8.07116867401738,25.72,5.01148011985474,25.72,9.98524283347073,25.72,9.87044626169055,25.72,11.1838364887145
25.85,8.11570771255617,25.85,5.01066537751693,25.85,9.92274389884725,25.85,9.88414165403298,25.85,11.1363150965134
25.98,8.02270099975305,25.98,5.00985090004984,25.98,9.92113096908476,25.98,9.83664128890656,25.98,11.2106644836728
25.98,8.03798194382557,25.98,4.9945768938719,25.98,9.89069858830519,25.98,9.82134276883444,25.98,11.2106644836728
26.12,8.0087209383227,26.12,5.02594186686935,26.12,9.90752523468241,26.12,9.82293947551121,26.12,11.182018274361
26.19,7.99343750994778,26.19,5.02594186686935,26.19,9.87708698114971,26.19,9.80763939348227,26.19,11.1515494891293
26.31,7.97555990002129,26.31,4.97849363970311,26.31,9.858662769019,26.31,9.74326918726183,26.31,11.1174658556271
26.44,7.99083928550119,26.44,4.94795059208189,26.44,9.87387648643781,26.44,9.7891554386195,26.44,11.0717784582572
26.56,7.96157537335775,26.56,4.9182073255085,26.56,9.87548147286279,26.56,9.76015053865118,26.56,11.088810078452
26.62,7.93101256016009,26.62,4.93348086916013,26.62,9.81461578625103,26.62,9.71425682854004,26.62,11.1040419947362
26.81,7.86988693376479,26.81,4.96402888151602,26.81,9.79939959586124,26.81,9.69895830846792,26.81,11.0735781621679
26.87,7.94629350423261,26.87,4.93348086916013,26.87,9.81461578625103,26.87,9.74485294363167,26.87,11.0431143295995
26.95,7.89916574732861,26.95,4.91740800691179,26.95,9.79780697444147,26.95,9.69738201100189,26.95,11.0717784582572
27.01,7.91315906762606,27.01,4.97768465471128,27.01,9.78100362535918,27.01,9.6652209789689,27.01,11.0699793392357
27.13,7.91315906762606,27.13,4.90133990583711,27.13,9.75058021010412,27.13,9.63463480736608,27.13,11.0547523732006
27.26,7.86860790127108,27.26,4.90213648310118,27.26,9.79780697444147,27.26,9.66679179336496,27.26,11.0108606952277
27.37,7.86732928445255,27.37,4.93187752796119,27.37,9.72015679484907,27.37,9.57346246416046,27.37,10.9938445090601
27.43,7.86732928445255,27.43,4.91660894808714,27.43,9.76579145535566,27.43,9.57346246416046,27.43,10.9633905769898
27.56,7.92843504551591,27.56,4.90133990583711,27.56,9.70494554959753,27.56,9.6652209789689,27.56,11.0852063052709
27.68,7.83805005521356,27.68,4.87159343547995,27.68,9.70652282012404,27.68,9.63620065082576,27.68,11.0870078990146
27.82,7.8520533065627,27.82,4.90133990583711,27.82,9.73536896485258,27.82,9.60404863576327,27.82,10.9938445090601
27.87,7.83677640392087,27.87,4.88607086358707,27.87,9.75058021010412,27.87,9.57346246416046,27.87,10.9938445090601
27.99,7.78968175385913,27.99,4.85474390292469,27.99,9.67295124381271,27.99,9.54132586586511,27.99,11.0529563127013
28.12,7.77440825785033,28.12,4.85474390292469,28.12,9.71857756547541,28.12,9.52603480242341,28.12,11.0529563127013
28.18,7.81895932777694,28.18,4.85395528305742,28.18,9.67137993919221,28.18,9.52448736337168,28.18,11.0207167977122
28.29,7.77440825785033,28.29,4.83947734142888,28.29,9.64253277143585,28.29,9.52603480242341,28.29,11.0225073284673
28.41,7.75787341913758,28.41,4.83869120150987,28.41,9.65617271141417,28.41,9.46333489422168,28.41,10.9902727597069
28.53,7.7591338372398,28.53,4.85474390292469,28.53,9.67295124381271,28.53,9.48016346130176,28.53,11.0225073284673
28.64,7.72733092704367,28.64,4.86921936460496,28.64,9.65617271141417,28.64,9.49391112879668,28.64,10.9293846836964
28.72,7.743860341231,28.72,4.82421124223394,28.72,9.62732399754828,28.72,9.48016346130176,28.72,10.9159358836482
28.83,7.71205944988383,28.83,4.83869120150987,28.83,9.62576010476116,28.83,9.41747100458495,28.83,11.0207167977122
28.89,7.72858638292134,28.89,4.82421124223394,28.89,9.61211429905898,28.89,9.46487239786006,28.89,10.9768338521163
29.02,7.71205944988383,29.02,4.80816350064054,29.02,9.59534657365661,29.02,9.40218242507168,29.02,10.944606702699
29.12,7.72733092704367,29.12,4.82342758218809,29.12,9.54972673922555,29.12,9.46333489422168,29.12,10.9293846836964
29.23,7.68151695778991,29.23,4.82342758218809,29.23,9.53452043589905,29.23,9.34102995592168,29.23,10.9902727597069
29.3,7.63570252631039,29.3,4.7623712559979,29.3,9.54972673922555,29.3,9.41747100458495,29.3,10.8837186266885
29.41,7.60515957199071,29.41,4.77763533754545,29.41,9.5041069047945,29.41,9.35631853543495,29.41,10.8989406456912
29.53,7.63446236023498,29.53,4.80738257429644,29.53,9.47215561139499,29.53,9.33951281608801,29.53,10.8819509283571
29.65,7.619193363419,29.65,4.77685936948673,29.65,9.47215561139499,29.65,9.308941547606,29.65,10.8210727415907
29.76,7.58742304510861,29.76,4.79134277751486,29.76,9.394608753024,29.76,9.35327978306878,29.76,10.8040984282224
29.83,7.55811783830579,29.83,4.76159776708187,29.83,9.41133935282174,29.83,9.29365637551569,29.83,10.7906336482075
29.93,7.60392436660302,29.93,4.73107456227216,29.93,9.4265431863897,29.93,9.308941547606,29.93,10.8210727415907
30.05,7.52635743807352,30.05,4.76082452938017,30.05,9.40981104178685,30.05,9.30742986499028,30.05,10.7432301274883
30.16,7.57215698990658,30.16,4.74556540531282,30.16,9.37940738841244,30.16,9.26158087106307,30.16,10.7432301274883
30.28,7.54284884148981,30.28,4.70055181961314,30.28,9.38093076138441,30.28,9.21722866646137,30.28,10.7145359147495
30.33,7.55689047262889,30.33,4.6845293711191,30.33,9.36420602380088,30.33,9.23101456706117,30.33,10.7432301274883
30.45,7.52635743807352,30.45,4.66927024705175,30.45,9.31860100581492,30.45,9.24629725698648,30.45,10.7127959771212
30.56,7.49582440351816,30.56,4.6845293711191,30.56,9.30339964120336,30.56,9.21573187713587,30.56,10.6367115253549
30.67,7.52635743807352,30.67,4.66927024705175,30.67,9.33380237042648,30.67,9.20044826305927,30.67,10.6519286005384
30.77,7.50987138987835,30.77,4.66851212556335,30.77,9.33228689675049,30.77,9.13783175902445,30.77,10.6958429240227
30.9,7.48055834831612,30.9,4.69978849518644,30.9,9.22739096984299,30.9,9.18516557313397,30.9,10.6367115253549
30.95,7.44881569770071,30.95,4.66851212556335,30.95,9.19549498063601,30.95,9.15311289159202,30.95,10.5741260881985
31.06,7.46407973624528,31.06,4.66851212556335,31.06,9.2562914904648,31.06,9.13783175902445,31.06,10.6197699016326
31.17,7.45002531376075,31.17,4.69978849518644,31.17,9.22739096984299,31.17,9.09346666112826,31.17,10.5910602998043
