X,A1: Sample 1,X,A2: Sample 2,X,A3: Sample 3,X,A4: Sample 4,X,A5: Sample 5,X,A6: Sample 6,X,A7: Sample 7,X,A8: Sample 8,X,A9: Sample 9,X,A10: Sample 10,X,B1: Sample 25,X,B2: Sample 26,X,B3: Sample 27,X,B4: Sample 28,X,B5: Sample 29,X,B6: Sample 30,X,B7: Sample 31,X,B8: Sample 32,X,B9: Sample 33,X,B10: Sample 34,X,C1: Sample 49,X,C2: Sample 50,X,C3: Sample 51,X,C4: Sample 52,X,C5: Sample 53,X,C6: Sample 54,X,C7: Sample 55,X,C8: Sample 56,X,C9: Sample 57,X,C10: Sample 58,X,D1: Sample 73,X,D2: Sample 74,X,D3: Sample 75,X,D4: Sample 76,X,D5: Sample 77,X,D6: Sample 78,X,D7: Sample 79,X,D8: Sample 80,X,D9: Sample 81,X,D10: Sample 82,X,E1: Sample 97,X,E2: Sample 98,X,E3: Sample 99,X,E4: Sample 100,X,E5: Sample 101,X,E6: Sample 102,X,E7: Sample 103,X,E8: Sample 104,X,E9: Sample 105,X,E10: Sample 106
24.47,335.129272517448,24.47,318.160810512658,24.47,206.040437290611,24.47,188.752004413755,24.47,127.1847685706,24.47,162.521527650557,24.47,61.440770859067,24.47,77.8691186465535,24.47,2.75914215744922,24.47,2.35824822484514,24.47,206.717381157153,24.47,218.259065181465,24.47,188.420635088231,24.47,197.741034782115,24.47,139.65837258058,24.47,153.390263009115,24.47,97.7380746123223,24.47,58.9077163296198,24.47,5.94552880172361,24.47,3.63754819853185,24.47,228.893029508042,24.47,171.920870204902,24.47,140.279052652422,24.47,190.469357117626,24.47,141.100919712928,24.47,132.78415170344,24.47,64.2570512461441,24.47,95.8180458361124,24.47,4.73517259874609,24.47,7.87515560603023,24.47,156.524355632571,24.47,106.297681102057,24.47,50.3345527507399,24.47,61.5588369827125,24.47,93.7295899120979,24.47,66.5865351817637,24.47,65.1817936342397,24.47,60.4848755549418,24.47,13.1141255861548,24.47,8.25447556846916,24.47,0.759177407755744,24.47,0.846272900907091,24.47,0.755416199326504,24.47,1.46336149575511,24.47,1.50500528748974,24.47,1.45853519746227,24.47,1.50089172731401,24.47,1.54358453966394,24.47,1.41035841935538,24.47,1.54202180526718
24.47,333.686208453767,24.47,316.465178124181,24.47,204.9319179143,24.47,187.52527876518,24.47,126.857805130452,24.47,161.631232123323,24.47,61.212525600744,24.47,77.1827301744605,24.47,2.71242312439141,24.47,2.22294575988576,24.47,206.010204537408,24.47,218.170343870674,24.47,187.552295873629,24.47,196.688167489562,24.47,139.277336535447,24.47,152.509564827085,24.47,96.9924148119315,24.47,58.5047723003238,24.47,5.80767347064498,24.47,3.63457780150545,24.47,228.34800118269,24.47,170.708809296858,24.47,139.852627539249,24.47,189.602363482337,24.47,140.053489678728,24.47,132.232432833841,24.47,63.7617888788779,24.47,95.2089003072637,24.47,4.81974136004004,24.47,7.73610588787484,24.47,155.592212619488,24.47,105.809754291088,24.47,49.8487701298438,24.47,61.1091616119412,24.47,93.2100410372323,24.47,66.0897933851432,24.47,65.0401990596573,24.47,60.1264624604857,24.47,13.0151775628592,24.47,8.11541849059979,24.47,0.713936406664505,24.47,0.890086160818238,24.47,0.71039937585106,24.47,1.41785830632993,24.47,1.45954753640322,24.47,1.4131822940601,24.47,1.45555825803353,24.47,1.41012477276728,24.47,1.40920673029825,24.47,1.45271899970702
24.61,331.823701376524,24.61,314.702202609232,24.61,203.701248116696,24.61,186.704539617861,24.61,125.745820349952,24.61,160.732027290782,24.61,60.881011590878,24.61,76.8462261162855,24.61,2.80044026904491,24.61,2.35555308401674,24.61,204.732035851253,24.61,216.846429427476,24.61,186.508954252842,24.61,195.465497020956,24.61,138.29771820641,24.61,151.615735430078,24.61,96.5613657375702,24.61,58.4413254605534,24.61,5.8500962517977,24.61,3.63339100059067,24.61,226.662400698534,24.61,170.251324732913,24.61,138.827119144638,24.61,188.47362518833,24.61,139.430857074373,24.61,131.258656776469,24.61,63.5639114076839,24.61,94.8239860121901,24.61,4.72976097291895,24.61,7.82196400214868,24.61,154.558664908917,24.61,105.106866781948,24.61,49.4768642566087,24.61,60.823019749007,24.61,92.9581671175181,24.61,65.9797673263936,24.61,64.665595894398,24.61,59.7537794480208,24.61,13.0991380140563,24.61,8.24504188210519,24.61,0.713703284572533,24.61,0.845305731877483,24.61,0.754552866527274,24.61,1.46168908261711,24.61,1.50328528144689,24.61,1.50101592060377,24.61,1.49917642248279,24.61,1.49776845905099,24.61,1.36472318780176,24.61,1.54025949463258
24.79,330.061229388381,24.79,312.543009345687,24.79,202.817695015415,24.79,185.467981737539,24.79,125.32390530816,24.79,159.904039773263,24.79,60.6485910326653,24.79,76.7002940264375,24.79,2.75553896821324,24.79,2.26629428747217,24.79,204.295055340917,24.79,215.469097327214,24.79,185.675111322737,24.79,194.49808273324,24.79,137.163244098484,24.79,150.835915092345,24.79,96.1019222036342,24.79,58.0327829557892,24.79,5.89345321968047,24.79,3.72140269287034,24.79,225.685785514815,24.79,169.286271762643,24.79,138.002889235178,24.79,187.82063574198,24.79,138.520713198174,24.79,130.351098683792,24.79,63.3765015782247,24.79,94.2778658962952,24.79,4.59640014761578,24.79,7.68813318101948,24.79,153.729502558958,24.79,104.510580949529,24.79,49.5132360598023,24.79,60.6800242310802,24.79,92.3673522450519,24.79,65.5268458258835,24.79,64.4783860363436,24.79,59.5234044962115,24.79,13.0529017755045,24.79,8.24369597255865,24.79,0.668987612044374,24.79,0.80068521919835,24.79,0.754429694332281,24.79,1.50573683126373,24.79,1.5030398871796,24.79,1.41249023612961,24.79,1.41075919689381,24.79,1.49752396534236,24.79,1.3204842887684,24.79,1.54000806474446
24.86,328.119557317539,24.86,310.8777425985,24.86,201.755467910492,24.86,184.410469003136,24.86,124.634572223643,24.86,158.942726498429,24.86,60.0158433405665,24.86,76.3321185682555,24.86,2.79952613806105,24.86,2.35478417489841,24.86,202.513207404951,24.86,214.002787098419,24.86,184.038252849638,24.86,193.352792007102,24.86,136.518297117473,24.86,149.745491696041,24.86,95.4208136598048,24.86,57.6686972265186,24.86,5.80388194234686,24.86,3.49931929617746,24.86,224.798981027151,24.86,168.455418662773,24.86,137.802269554086,24.86,186.412451919549,24.86,138.143207398789,24.86,129.753924259631,24.86,62.9679102351732,24.86,93.7319240471267,24.86,4.77240576615751,24.86,7.81941072517719,24.86,153.079230977038,24.86,104.092649893529,24.86,49.1496422668588,24.86,60.0048788171346,24.86,91.6881903649048,24.86,65.1624890170776,24.86,64.0263023106823,24.86,59.1607549236765,24.86,13.0066806295719,24.86,8.15419707109403,24.86,0.713470314673864,24.86,0.84502980377829,24.86,0.798677531683215,24.86,1.46121195218374,24.86,1.54699447238902,24.86,1.45639274327961,24.86,1.54276611089847,24.86,1.49727955144235,24.86,1.40828673243287,24.86,1.49576357236419
25.07,327.167197144639,25.07,309.213019345681,25.07,200.738315440896,25.07,183.576598936064,25.07,124.034631253751,25.07,158.382471053077,25.07,60.0060496324496,25.07,75.9196187431002,25.07,2.79906929632834,25.07,2.35439990855133,25.07,201.314666484406,25.07,212.939378685361,25.07,183.071243628651,25.07,192.519644535152,25.07,136.095874182156,25.07,148.611027782448,25.07,94.9617061962255,25.07,57.3490518563295,25.07,5.75863803452623,25.07,3.58732414255632,25.07,223.465143630513,25.07,167.758678344232,25.07,136.889437097376,25.07,185.671154971897,25.07,137.455349478875,25.07,129.156944735738,25.07,62.7364175124607,25.07,93.2745681439963,25.07,4.72744548941393,25.07,7.68562399917189,25.07,152.116642790081,25.07,103.496724176735,25.07,48.7861671402967,25.07,59.8177152068785,25.07,91.8060323590308,25.07,65.0634530327291,25.07,63.6185165384685,25.07,58.6217878611298,25.07,12.9163923451888,25.07,8.10879690240577,25.07,0.757938541228728,25.07,0.889359915582583,25.07,0.798547199187836,25.07,1.46097350375812,25.07,1.63512723158914,25.07,1.54440692970663,25.07,1.58658621658661,25.07,1.58509605346618,25.07,1.40805692062927,25.07,1.58349124955841
25.21,325.414528680378,25.21,307.733531521884,25.21,199.351427961048,25.21,182.95141292253,25.21,123.499607044269,25.21,157.491922700236,25.21,59.5167533936946,25.21,75.0750817877725,25.21,2.75463964087375,25.21,2.26555463528958,25.21,200.687106103078,25.21,212.179195958807,25.21,182.62505499977,25.21,191.495372215992,25.21,135.117730909364,25.21,147.900599826054,25.21,94.4294627778532,25.21,57.0388225220054,25.21,5.75863803452623,25.21,3.63161225173268,25.21,222.749496343114,25.21,166.643260248781,25.21,136.132655492256,25.21,185.004706296437,25.21,136.346476937881,25.21,128.581139155099,25.21,62.4267175979824,25.21,92.8767118036694,25.21,4.68326366528239,25.21,7.64145353885017,25.21,151.625512298729,25.21,102.561512040535,25.21,48.697299473645,25.21,59.7733722840313,25.21,90.9649927832909,25.21,64.7098487047708,25.21,63.6185165384685,25.21,58.4894542903654,25.21,13.0045581294691,25.21,8.02065785650153,25.21,0.757938541228728,25.21,0.84489190726984,25.21,0.84291092783397,25.21,1.46097350375812,25.21,1.54674202551036,25.21,1.54440692970663,25.21,1.58658621658661,25.21,1.49703521731189,25.21,1.45205859495216,25.21,1.53950545114631
25.34,324.029308708128,25.34,306.886955587985,25.34,199.070753536991,25.34,182.177364629876,25.34,123.118440711867,25.34,156.1370707572,25.34,59.2595319084276,25.34,74.7761350252157,25.34,2.75508923115298,25.34,2.39921406183721,25.34,199.330029750592,25.34,210.782683068561,25.34,181.449940705569,25.34,190.546708382032,25.34,134.339341444322,25.34,147.214205770914,25.34,94.1786989599616,25.34,56.6935178610354,25.34,5.80388194234686,25.34,3.58790963694878,25.34,221.130604491014,25.34,165.644104157744,25.34,135.175340893345,25.34,183.790679259094,25.34,136.05820432008,25.34,127.804731512132,25.34,61.8616540034729,25.34,92.0960278481865,25.34,4.63983899503384,25.34,7.64270071585993,25.34,150.667838104227,25.34,102.311005761165,25.34,48.4386169907676,25.34,59.2509367917667,25.34,90.581383232759,25.34,64.3225369910715,25.34,63.1431821536428,25.34,58.1019510099702,25.34,12.9185004555765,25.34,8.11012035546638,25.34,0.713470314673864,25.34,0.84502980377829,25.34,0.798677531683215,25.34,1.41693266030001,25.34,1.54699447238902,25.34,1.50052595294567,25.34,1.49868705528107,25.34,1.54131715581263,25.34,1.36427770936605,25.34,1.49576357236419
25.4,322.979968533082,25.4,305.800648713455,25.4,198.066466968291,25.4,181.224958142662,25.4,122.186717741379,25.4,154.661486307805,25.4,59.0622956665884,25.4,74.3961986183383,25.4,2.7097677909363,25.4,2.35401576759709,25.4,198.458237895044,25.4,209.86442236463,25.4,180.40927131138,25.4,189.816628450287,25.4,133.717611036923,25.4,146.056320670188,25.4,92.9506145007616,25.4,56.3648337091323,25.4,5.75769846232285,25.4,3.54245829021244,25.4,220.566518468695,25.4,165.143957144547,25.4,134.597117305121,25.4,183.375313861595,25.4,135.171203510021,25.4,127.541604797743,25.4,61.3548763370942,25.4,91.5355938622743,25.4,4.6824995498206,25.4,7.68437002234057,25.4,149.949049675544,25.4,101.787820681549,25.4,48.3339574549178,25.4,59.187266485878,25.4,90.2420205001035,25.4,63.9038041158027,25.4,63.1225774278625,25.4,57.9065789181918,25.4,12.9142849227145,25.4,8.10747388121105,25.4,0.668660158489776,25.4,0.844754055759436,25.4,0.798416909222232,25.4,1.4607351331424,25.4,1.59067497009512,25.4,1.50003630505761,25.4,1.54226267930738,25.4,1.49679096291194,25.4,1.31983794305682,25.4,1.58323288910001
25.47,321.5421063535,25.47,303.783492543152,25.47,196.724547816191,25.47,179.751593193214,25.47,121.384323061586,25.47,153.904657080542,25.47,58.350700390089,25.47,73.7740072296301,25.47,2.66534538456891,25.47,2.26518499021937,25.47,197.472223317247,25.47,208.970244469849,25.47,179.873949425988,25.47,188.792523250122,25.47,133.184160532472,25.47,144.990863298013,25.47,92.7732289746951,25.47,56.0103406907392,25.47,5.71340822223447,25.47,3.58673883922094,25.47,219.850966558204,25.47,164.117937789018,25.47,134.107510582734,25.47,182.131497845264,25.47,134.505986400061,25.47,126.788753591683,25.47,61.4433498812171,25.47,90.9168083868801,25.47,4.59415031886021,25.47,7.59604351529162,25.47,149.413364207569,25.47,101.298032167871,25.47,47.9341395901156,25.47,58.7882506414794,25.47,89.7109225888367,25.47,63.6828368010044,25.47,62.5928750320979,25.47,57.3773523878667,25.47,12.7820558187722,25.47,8.06341154858736,25.47,0.668660158489776,25.47,0.755832549823561,25.47,0.709703928591294,25.47,1.4164702903668,25.47,1.50230418483639,25.47,1.4559174968305,25.47,1.45413333560765,25.47,1.45276756169534,25.47,1.27584336444847,25.47,1.4952754785243
