X,C10: Sample 58,X,D7: Sample 79,X,E11: Sample 107,X,F4: Sample 124,X,G6: Sample 150
24.56,6.27343161130169,24.56,4.78216743516183,24.56,6.89915387817653,24.56,5.42569400112294,24.56,5.16476818237755
24.63,6.2869710597806,24.63,4.75754687158078,24.63,6.83298710027372,24.63,5.40039665185926,24.63,5.13981842854702
24.82,6.30680326856123,24.82,4.85666259398251,24.82,6.83298710027372,24.82,5.42025107117699,24.82,5.15958700714026
25.02,6.28592007832628,25.02,4.81621123327089,25.02,6.81209937448682,25.02,5.37964277713656,25.02,5.09942926685233
25.09,6.26609058467529,25.09,4.77657145187093,25.09,6.85158970996169,25.09,5.37964277713656,25.09,5.15872448841623
25.16,6.28486944819452,25.16,4.75595651661786,25.16,6.75173489600744,25.16,5.29935249290883,25.16,5.09857694706847
25.23,6.24417343691634,25.23,4.75516173778821,25.23,6.77034546647217,25.23,5.33815583705752,25.23,5.09772491215085
25.29,6.24313013308394,25.29,4.75436722454881,25.29,6.80868478833419,25.29,5.3372639146119,25.29,5.09687316195667
25.42,6.24417343691634,25.42,4.75516173778821,25.42,6.80982260330551,25.42,5.33815583705752,25.42,5.03844890852475
25.49,6.22435057076991,25.49,4.75516173778821,25.49,6.84929974013884,25.49,5.35800030262225,25.49,5.07796624427548
25.63,6.20452770462348,25.63,4.75516173778821,25.63,6.82956147171409,25.63,5.31831137149279,25.63,5.05820757640012
25.75,6.20349102497359,25.75,4.75436722454881,25.75,6.7297437066932,25.75,5.3372639146119,25.75,5.05736242893539
25.82,6.18263844862123,25.82,4.75357297676656,25.82,6.72861945949863,25.82,5.3165344548969,25.82,5.09602169634324
25.95,6.20141870460446,25.95,4.71317261762848,25.95,6.766952943272,25.95,5.2958119200056,25.95,5.01617544680908
26.01,6.20349102497359,26.01,4.71474761265526,26.01,6.69027316587271,26.01,5.25789931515369,26.01,5.09687316195667
26.14,6.24000231237598,26.14,4.79158533922164,26.14,6.72637209160969,26.14,5.29492751587734,26.14,5.03508321119107
26.27,6.19934776831974,26.27,4.65220879919712,26.27,6.78441553847495,26.27,5.3138713052284,26.27,5.05398466140897
26.33,6.1419805047118,26.33,4.67356624094853,26.33,6.66830925491752,26.33,5.2759773982185,26.33,4.95692914553991
26.47,6.15973513481825,26.47,4.73139539955068,26.47,6.76469314933536,26.47,5.27421550895545,26.47,5.01450031725596
26.59,6.15973513481825,26.59,4.67200552422087,26.59,6.62663822380707,26.59,5.2345597126825,26.59,4.99475814517946
26.71,6.15973513481825,26.71,4.67200552422087,26.71,6.68580479174289,26.71,5.29404340709192,26.71,4.91578945687345
26.77,6.15973513481825,26.77,4.67200552422087,26.77,6.70552658139954,26.77,5.25438761081898,26.77,4.95527380102645
26.83,6.17850980858876,26.83,4.6910186770575,26.83,6.68468863067582,26.83,5.23368582959191,26.83,4.97418541951813
26.91,6.09828029038042,26.91,4.71002578229707,26.91,6.70328804807242,26.91,5.23281223823327,26.91,5.01282630613353
27.09,6.11705895371985,27.09,4.66966640262998,27.09,6.66274491141375,27.09,5.25175690941169,27.09,4.9527928561995
27.16,6.09726255334932,27.16,4.64987958918417,27.16,6.62332048103814,27.16,5.19230299655822,27.16,4.93306056838806
27.28,6.11705895371985,27.28,4.68945291648439,27.28,6.58389605066253,27.28,5.21212096750938,27.28,4.9527928561995
27.34,6.11705895371985,27.34,4.64987958918417,27.34,6.64303299581734,27.34,5.21212096750938,27.34,4.9527928561995
27.46,6.05766975260826,27.46,4.729026543376,27.46,6.62332048103814,27.46,5.25175690941169,27.46,4.93306056838806
27.53,6.03787335223773,27.53,4.64987958918417,27.53,6.60360796625894,27.53,5.23193893846053,27.53,4.97252514401095
27.71,6.01707336657626,27.71,4.64910370405332,27.71,6.60250607939655,27.71,5.23106593012774,27.71,4.97169542181105
27.84,6.07645205884347,27.84,4.66888721584496,27.84,6.60250607939655,27.84,5.21125126602973,27.84,4.91250843604456
27.89,6.07645205884347,27.89,4.64910370405332,27.89,6.58279745295676,27.89,5.19143660193173,27.89,4.95196642655555
28.01,6.0952280980429,28.01,4.60876795482293,28.01,6.60140456019745,28.01,5.17075913804429,28.01,4.91168886506758
28.08,6.07442488551274,28.08,4.64755271032386,28.08,6.54119665533932,28.08,5.16989662609466,28.08,4.89114745351135
28.2,6.05463839159778,28.2,4.66732962211156,28.2,6.58060135705919,28.2,5.20951273349728,28.2,4.95031439438656
28.31,6.05463839159778,28.31,4.60799918618993,28.31,6.5214940050379,28.31,5.15008857239335,28.31,4.93059198094767
28.43,5.99427962889782,28.43,4.6072306739841,28.43,6.5007075987239,28.43,5.14922965168415,28.43,4.94948879158563
28.55,6.05261916918937,28.55,4.64600275110748,28.55,6.55871064649206,28.55,5.18797391285257,28.55,4.86980041941544
28.62,5.95272767469671,28.62,4.60569441834089,28.62,6.51823217075729,28.62,5.10791637672882,28.62,4.88870106432153
28.73,6.01305997763741,28.73,4.60646241807714,28.73,6.53901516570939,28.73,5.16817246513882,28.73,4.90923179209856
28.8,5.99427962889782,28.8,4.58745706054726,28.8,6.48100823438818,28.8,5.12942490152749,28.8,4.87061259426858
28.91,5.93394039716703,28.91,4.5669217857052,28.91,6.49962360546082,28.91,5.12856956971133,28.91,4.90923179209856
29.08,6.01205746680419,29.08,4.60569441834089,29.08,6.51823217075729,29.08,5.16731081584486,29.08,4.86898851537752
29.2,6.01205746680419,29.2,4.56616037827177,29.2,6.49853997364931,29.2,5.08811823035681,29.2,4.86898851537752
29.25,6.0516100629591,29.25,4.52662663749436,29.25,6.49853997364931,29.25,5.12771452310084,29.25,4.86898851537752
29.32,5.97051343730852,29.32,4.62391931870404,29.32,6.45700133080576,29.32,5.08642219094669,29.32,4.80824758492264
29.43,5.9912819894768,29.43,4.5456357989429,29.43,6.43838876255724,29.43,5.10706491542248,29.43,4.84846761904787
29.55,5.9912819894768,29.55,4.5456357989429,29.55,6.45807767708527,29.55,5.06747582164429,29.55,4.88788614499092
29.67,5.93196208731633,29.67,4.56539922468313,29.67,6.39901033501754,29.67,5.06747582164429,29.67,4.84846761904787
29.78,5.91218878659617,29.78,4.5456357989429,29.78,6.43838876255724,29.78,5.06747582164429,29.78,4.7893398301333
29.89,5.99028344247855,29.89,4.52511776194853,29.89,6.37825760186887,29.89,5.06663124234069,29.89,4.827953563017
30.01,5.89143401501225,30.01,4.54487819297641,30.01,6.47668756223192,30.01,5.0468396953508,30.01,4.88707149730009
30.07,5.94876051196782,30.07,4.52360989198453,30.07,6.43517064088319,30.07,5.08472728185274,30.07,4.8263447814232
30.18,5.89045227296676,30.18,4.52436370133164,30.18,6.41656003966404,30.18,5.0657869445166,30.18,4.82714903817731
30.3,5.91021838540084,30.3,4.52436370133164,30.3,6.39687768701387,30.3,5.0459986955682,30.3,4.78774364955335
30.41,5.91021838540084,30.41,4.52436370133164,30.41,6.39687768701387,30.41,5.10536284412923,30.41,4.72863586575951
30.47,5.88947085805957,30.47,4.46434865183955,30.47,6.39581189599637,30.47,5.04515797602545,30.47,4.80664536979937
30.58,5.84896951991223,30.58,4.48335522228163,30.58,6.35539367360591,30.58,5.0245358804207,30.58,4.80584466259135
30.69,5.86872964501971,30.69,4.48335522228163,30.69,6.35539367360591,30.69,5.04431753658251,30.69,4.80584466259135
30.79,5.84896951991223,30.79,4.52285633378164,30.79,6.394746460065,30.79,5.00475392521647,30.79,4.76645270157507
30.91,5.88848977012719,30.91,4.46360496557404,30.91,6.31604148523165,30.91,4.98497226905466,30.91,4.76645270157507
31.01,5.80848167321663,31.01,4.50235576041371,31.01,6.37400826302685,31.01,4.98414199385995,31.01,4.78535137257989
31.08,5.84799534111144,31.08,4.48260849422995,31.08,6.27564387891987,31.08,5.00392035527556,31.08,4.76565882204449
31.18,5.88652857453348,31.18,4.50160599259349,31.18,6.33360773095796,31.18,5.02286242966952,31.18,4.84362318845432
31.36,5.84799534111144,31.36,4.50235576041371,31.36,6.35433514701137,31.36,5.02369901568378,31.36,4.78535137257989
31.47,5.86677503065001,31.47,4.44237435839695,31.47,6.31393789106504,31.47,5.00308706295994,31.47,4.74517563680083
31.53,5.86677503065001,31.53,4.46211833611007,31.53,6.33360773095796,31.53,5.00308706295994,31.53,4.78455447809653
31.62,5.84702148676654,31.62,4.44237435839695,31.62,6.27459880916485,31.62,5.00308706295994,31.62,4.74517563680083
31.73,5.80654744688522,31.73,4.48111578410866,31.73,6.31288661935491,31.73,4.98248227291627,31.73,4.7837578489793
31.84,5.82629770180034,31.84,4.42189401198908,31.84,6.2735540874184,31.84,5.00225404813094,31.84,4.70501298066211
31.95,5.7867971919701,31.95,4.44163470232663,31.95,6.31288661935491,31.95,4.94293872248692,31.95,4.68532668885955
32.06,5.82532778375443,32.06,4.44089529252101,32.06,6.27250971350673,32.06,4.98165282689114,32.06,4.72391274020689
32.17,5.84410186884705,32.17,4.40068818991192,32.17,6.27146568725615,32.17,4.96105846358119,32.17,4.72312646977743
32.27,5.80461450832101,32.27,4.42042200998775,32.27,6.31078512580652,32.27,4.96105846358119,32.27,4.74280620822053
32.38,5.76512714779497,32.38,4.42042200998775,32.38,6.31078512580652,32.38,5.02035434257081,32.38,4.70344673133432
32.48,5.80558081671261,32.48,4.42115788846453,32.48,6.29217300442682,32.48,4.96188434313231,32.48,4.72391274020689
32.59,5.72468754072476,32.59,4.38022500562881,32.59,6.23110911336733,32.59,4.97999476304462,32.59,4.68298753424704
32.64,5.80364852154978,32.64,4.43941721121213,32.64,6.29007875479979,32.64,4.94047095477724,32.64,4.68298753424704
32.76,5.76416773239344,32.76,4.41968637643642,32.76,6.21145236706062,32.76,4.92070905064355,32.76,4.7026639976463
32.86,5.76320863626493,32.86,4.39922373460746,32.86,6.24972579879888,32.86,4.95940752898432,32.86,4.6625351455448
33.02,5.78198368573822,33.02,4.39849187239907,33.02,6.24868608397625,33.02,4.93882714477731,33.02,4.76010906131345
33.13,5.70399790369299,33.13,4.37949618283253,33.13,6.23007232316543,33.13,4.95940752898432,33.13,4.70188152443538
33.23,5.80268285623838,33.23,4.39922373460746,33.23,6.32833850655617,33.23,4.93964891302104,33.23,4.64286195609951
33.32,5.74347212366644,33.32,4.39922373460746,33.32,6.23007232316543,33.32,4.91989029705775,33.32,4.68220833499009
33.43,5.72278280356265,33.43,4.39849187239907,33.43,6.17008585707147,33.43,4.93882714477731,33.43,4.68142939499092
33.53,5.74156145429729,33.53,4.39776025365782,33.53,6.12976628410611,33.53,4.95775769281367,33.53,4.73965064853443
33.63,5.76129140118966,33.63,4.37803926460804,33.63,6.22799977748241,33.63,4.87874981979209,33.63,4.71998400372967
33.74,5.72087933347997,33.74,4.37731116893789,33.74,6.22696402165712,33.74,4.87793845278398,33.74,4.71919904048275
33.84,5.79978778745928,33.84,4.39702887826223,33.84,6.20732035151626,33.84,4.91743567026727,33.84,4.66020891813143
33.94,5.78006052469191,33.94,4.43646399836583,33.94,6.20732035151626,33.94,4.97668194430985,33.94,4.66020891813143
34.1,5.78006052469191,34.1,4.39702887826223,34.1,6.18767727846559,34.1,4.87793845278398,34.1,4.67987229224854
34.14,5.73965205574248,34.14,4.39629774609092,34.14,6.22592861028006,34.14,4.89687282981866,34.14,4.69875423376399
34.24,5.71992807319838,34.24,4.35686888471172,34.24,6.18664839963645,34.24,4.89687282981866,34.24,4.65943402472967
34.35,5.75841793914417,34.35,4.33643369603335,34.35,6.18561986291165,34.35,4.93554280419891,34.35,4.65865938898159
34.4,5.73774392673459,34.4,4.41454378922979,34.4,6.16495779369292,34.4,4.8952448800747,34.4,4.71684571649315
34.55,5.71897712921281,34.55,4.37585570387756,34.55,6.14634618264388,34.55,4.8763165281114,34.55,4.65865938898159
34.71,5.7574607553112,34.71,4.39483621093597,34.71,6.24349269461124,34.71,4.8952448800747,34.71,4.63823144218053
34.76,5.71802650136554,34.76,4.37512833424593,34.76,6.14532451605767,34.76,4.87550597017787,34.76,4.67753857933684
34.86,5.77717818068026,34.86,4.37512833424593,34.86,6.20422494575586,34.86,4.87550597017787,34.86,4.65788501075869
34.96,5.71802650136554,34.96,4.33571287926207,34.96,6.16495779369292,34.96,4.91498349157532,34.96,4.65788501075869
35.1,5.73679033791512,35.1,4.31528770076007,35.1,6.12467257770417,35.1,4.89443131104029,35.1,4.67676119217059
35.2,5.73583706600786,35.2,4.35397299312999,35.2,6.143282201496,35.2,4.91335006402743,35.2,4.65633702637492
